temperature,API,gamma_s,Rs,p_sat,Bo_psat,visc_o_psat,Bg_psat
203,45.49,0.825,1504,3765,1.874,0.272,
198,47.59,0.773,2003,4365,2.108,0.196,
203,57.82,0.744,23828,5678,,,
169,48.75,0.774,3982,6225,,,
169,46.41,0.776,1328,3565,1.704,0.354,
167,47.69,0.794,2681,4745,2.441,0.189,
325,53,0.717,3955,4237,4.101,,
179,76.41,0.715,2335,5596,,,
160,42.7,0.798,860,1921,1.392,0.289,
240,38.02,0.937,1472,2505,2.091,0.182,
180,54.78,0.779,5067,5031,,,
175,48.8,0.744,5128,5100,,,
182,50.8,0.437,4058,4898,,,
168,56.87,0.834,20481,3615,,,
190,45.02,0.759,1575,3615,1.837,0.211,
207,47.86,0.762,4925,4735,3.838,0.062,
212,46.42,0.787,3889,4565,3.349,,
183,64.1,0.743,6221,5166,,,
195,58.27,0.757,7467,5072,,,
187,52.24,0.788,4780,4900,3.709,0.154,
214,56.59,0.725,14011,5705,,,
197,45.59,0.853,1705,3965,1.965,0.246,
190,52.13,0.77,3637,4832,,,
193,46.48,0.812,1669,3815,1.947,0.256,
215,40.2,0.809,996,2579,1.708,0.627,
215,42.1,1.3,1096,2497,1.726,0.696,
250,38.7,0.896,1632,3469,2.112,0.62,
226,52.7,0.794,16843,3102,,0.021,
225,55.8,0.704,4850,3852,,0.027,
221,54.5,0.719,5069,3773,,0.027,
231,58.1,0.794,1102,2904,2.889,0.489,
259,42.9,0.926,1683,2951,2.214,0.549,
226,66.9,0.716,17428,3122,,0.021,
225,48,0.801,1362,3650,2.798,0.522,
180,43,0.745,4585,7990,,,
185,44.4,0.746,6132,7525,,,
196,50.4,0.822,37504,4590,,,
185,45.7,0.783,19218,10000,,,
181,43.6,0.756,3714,6300,,,
180,42,0.808,3772,6310,,,
150,38.8,0.77,4518,8947,,,
182,43.4,0.769,5747,8120,,,
173,44.2,0.796,3328,5240,,,
234,47.5,0.75,39340,1919,,0.103,
234,52.8,0.717,28662,1844,,0.018,
234,48.8,0.721,54104,2030,,0.017,
234,53.1,0.712,28763,3111,,0.021,
234,62.87,0.7,58504,1707,,0.017,
168,44.45,0.888,1012,2465,1.593,0.467,
158,43,0.9,869,2265,1.49,0.499,
160,38.7,0.724,927,2685,1.502,0.435,
175,42.5,0.722,2650,5065,2.36,0.243,
163,41.02,0.965,1168,2613,1.658,0.3,
166,42.1,0.715,1419,3220,1.804,0.3,
162,40.9,0.715,1262,2950,1.716,0.34,
156,41.3,0.694,4012,5510,3.15,0.14,
161,40.1,0.939,868,2678,1.514,0.45,
132,37.64,0.756,747,3150,1.343,0.784,
178,39.6,0.917,865,2335,1.549,0.457,
126,37.7,0.886,520,2188,1.329,0.935,
147,41.9,0.843,705,2290,1.502,0.391,
153,40.4,0.826,661,2370,1.475,0.429,
168,43.3,0.853,1000,2875,1.669,0.28,
174,42.6,0.938,1100,3328,1.705,0.292,
159,42.8,0.776,757,2721,1.608,0.363,
189,45.1,0.894,1500,3478,1.954,0.205,
188,45.1,0.909,1500,3259,1.966,0.202,
240,39,1.008,612,1657,1.471,0.352,
240,38.1,0.833,485,1389,1.374,0.488,
240,36.7,0.944,483,1778,1.429,0.453,
240,34.2,0.81,683,2057,1.53,0.476,
245,35.17,0.887,1145,2674,1.779,0.184,
237,34.6,1.058,915,2530,1.714,0.392,
212,42.2,0.932,1275,2304,1.873,0.257,
270,43.6,0.755,1230,2866,1.852,0.239,
225,37.29,0.951,336,1211,,,
225,34.6,0.994,275,1370,,,
235,35.46,0.92,558,2122,,,
238,43.58,0.72,1035,3064,,,
225,30,0.65,638,2125,,,
225,30,0.65,628,2100,,,
228,30,0.9,762,2455,,,
228,30,0.9,757,2440,,,
228,30,0.65,764,2459,,,
221,42.5,0.9,513,1764,,,
225,34.6,0.994,275,1370,,,
205,49.9,0.754,4889,5070,3.691,0.074,
210,81.9,0.723,38878,2429,,,
235,61.83,0.796,4912,3998,,,
233,55.73,0.816,3912,4298,,,
230,64.78,0.79,9809,3918,,,
220,73.47,0.736,17933,3129,,,
220,64.59,0.796,6097,4395,,,
218,88.88,0.775,19602,3188,,,
247,74.5,0.701,85802,2577,,,
151,40.5,0.918,550,1991,,,
159,37.8,0.864,575,2388,,,
164,39.1,0.822,825,3044,,,
166,38.1,0.875,875,3297,,,
166,40.4,0.993,735,2588,,,
171,44.7,0.804,912,3000,,,
175,44.8,0.901,1400,3200,,,
159,40.8,0.897,745,2568,,,
175,44.8,0.901,1200,3200,,,
290,78.8,0.746,9177,3906,,,
290,52.6,0.729,2901,4343,,,
330,66.88,0.74,2329,3969,,,
326,53.7,0.718,3187,4122,,,
327,57.7,0.728,6979,4848,,,
330,59,0.724,5771,3946,,,
326,55.6,0.718,3568,4391,,,
320,52.9,0.722,2449,4276,,,
319,55,0.735,3262,4379,,,
250,77.21,0.741,28130,2814,,,
291,82.2,0.764,9308,3910,,,
323,56.7,0.729,4573,4373,,,
302,49.8,0.711,1142,3866,,,
304,48.9,0.724,1224,3721,,,
308,51.1,0.729,1464,3859,,,
313,51.5,0.715,1944,4176,,,
315,53.3,0.731,2492,4317,,,
312,52,0.728,2711,4792,,,
316,50.6,0.725,2504,4421,,,
309,51.1,0.73,2102,4034,,,
307,49.8,0.742,1701,4292,2.215,,
150,39.8,0.771,1175,3452,,,
150,33.7,0.795,540,2172,1.252,,
161,47.2,0.759,6007,5675,,,
161,41.4,0.767,3220,5120,2.7,0.15,
297,81.41,0.732,2574,4431,,,
298,83.82,0.797,3094,4550,,,
310,78.46,0.752,7436,5160,,,
310,80.31,0.747,6560,4520,,,
298,76.96,0.798,2529,4355,,,
285,74.56,0.793,1567,4148,,,
305,76.54,0.81,2285,4213,,,
220,53.1,0.73,7493,4385,,,
293,74.68,0.737,2533,4149,,,
